(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B09P8QSW86,B09P8SJGV5,"Salinas Bowling Sign Poster Wall Art Decor Framed Print | Neon Signs & Landmarks Home & Office Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room Walls",1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8SK65Z,"Bad to The Bone Dog in Car Poster Wall Art Decor Framed Print | Dogs & Cars Home & Office Decoration Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8SLBJT,"Bad to The Bone Dog in Car Poster Wall Art Decor Framed Print | Dogs & Cars Home & Office Decoration Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8SLRMX,"Bo Mac's Sign Poster Wall Art Decor Framed Print | Neon Signs & Landmarks Home & Office Decoration Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room Walls",2,0,0.01%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8SMT3L,"Huntington Beach Surf Car Poster Wall Art Decor Framed Print | Surfing & Ocean Piers Home & Office Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room",2,0,0.01%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8SMWG2,"Bo Mac's Sign Poster Wall Art Decor Framed Print | Neon Signs & Landmarks Home & Office Decoration Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room Walls",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8SNZT3,"Bad to The Bone Dog in Car Poster Wall Art Decor Framed Print | Dogs & Cars Home & Office Decoration Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8SRST3,"Classic Car Collage Poster Wall Art Decor Framed Print | Surfing & Ocean Piers Home & Office Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room",2,0,0.01%,0.00%,3,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8SVD21,"Bo Mac's Sign Poster Wall Art Decor Framed Print | Neon Signs & Landmarks Home & Office Decoration Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room Walls",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8SW6QL,"Chinese Hollywood Theatre with Boarder Poster Wall Art Decor Framed Print | Drive Ins & Movie Theaters Home & Office Posters, Pictures & Prints by Larry Grossman | Artwork for Bedroom & Living Room",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8SXJ4Z,1936 Streamliner Diner 1936 with Boarder Poster Wall Art Decor Framed Print | Diners & Classic Restaurants Home & Office Posters Pictures & Prints by Larry Grossman | Artwork for Bedroom & Living Room,3,0,0.01%,0.00%,5,0,0.02%,0.00%,20.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8SZ9CZ,"Canoga Park Bowl Sign Poster Wall Art Decor Framed Print | Neon Signs & Landmarks Home & Office Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room Walls",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8SZR7S,"Surfing VW Bus Poster Wall Art Decor Framed Print | Surfing & Ocean Piers Home & Office Decoration Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8T2WG5,"Bullocks Wilshire 1940 with Boarder Poster Wall Art Decor Framed Print | Diners & Classic Restaurants Home & Office Posters, Pictures & Prints by Larry Grossman | Artwork for Bedroom & Living Room",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8T3G76,"Cruisin The Streamliner Diner Poster Wall Art Decor Framed Print | Diners & Classic Restaurants Home & Office Posters, Pictures & Prints by Larry Grossman | Cool Artwork for Bedroom & Living Room",1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8T5YKB,"Pantages at Night Poster Wall Art Decor Framed Print | Drive Ins & Movie Theaters Home & Office Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room Walls",2,0,0.01%,0.00%,3,0,0.01%,0.00%,66.67%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8T79P7,"Park Central Hotel Moon Over Miami Poster Wall Art Decor Framed Print | Art Deco & 20th Century Home & Office Posters, Pictures & Prints by Larry Grossman | Cool Artwork for Bedroom & Living Room",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8T8VC9,"1951 Surf Woody Car Poster Wall Art Decor Framed Print | Surfing & Ocean Piers Home & Office Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room",2,0,0.01%,0.00%,2,0,0.01%,0.00%,50.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8T9TLR,"Moonlight Tango Poster Wall Art Decor Framed Print | Art Deco & 20th Century Home & Office Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room Walls",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8TC14N,"Steel's Motel Sign Poster Wall Art Decor Framed Print | Neon Signs & Landmarks Home & Office Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room Walls",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8TFWF5,"Bar Sign Poster Wall Art Decor Framed Print | Neon Signs & Landmarks Home & Office Decoration Posters, Pictures & Prints in Frame by Larry Grossman | Cool Artwork Gift for Bedroom & Living Room Walls",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
